data_ora,account,followers,likes_totali,video_totali,engagement_medio,avg_views,avg_likes,avg_commenti,avg_condivisioni,video_analizzati,stato,dettaglio_errore
02/07/2026 12:20:27,khaby.lame,162263087,2636080478,1335,6.08,50658620.69,2448375.86,20979.76,142725.97,29,ok,
02/07/2026 12:20:35,arnaldomangini,36454090,280699208,2469,2.75,6032887.88,294204.52,3698.91,9807.42,33,ok,
02/07/2026 12:20:39,paky__official,29691778,604303083,4539,1.64,6106509.38,172028.34,1604.16,5128.25,32,ok,
02/07/2026 12:20:45,gzfoodqood,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:20:52,mercuri_88,24527749,445509350,1667,7.95,1103421.21,57991.12,1140.82,3330.91,33,ok,
02/07/2026 12:20:58,gianlucavacchi,22272821,275471010,538,4.35,2931306.67,117086.67,2177.4,4389.53,30,ok,
02/07/2026 12:21:06,urbantheory_,21145027,225402523,641,9.14,13001924.59,1079218.56,4401.34,18556.16,32,ok,
02/07/2026 12:21:11,jessibrugali,10228045,242544828,2741,3.89,143279.31,5750.78,18.38,101.38,32,ok,
02/07/2026 12:21:16,lucianospinelli,7601760,609641251,614,12.31,397940.0,44342.93,144.3,2174.87,30,ok,
02/07/2026 12:21:20,faffapix,15475196,285866405,2106,1.8,2991012.5,58131.75,551.38,276.31,32,ok,
02/07/2026 12:21:28,ceciliacantarano,3598021,290928268,1937,12.45,2091384.38,196848.38,654.78,7130.38,32,ok,
02/07/2026 12:21:32,surry,0,0,0,,,,,,0,ok,
02/07/2026 12:21:38,jakidale,810217,10918600,164,9.46,636033.33,61609.18,351.58,3197.48,33,ok,
02/07/2026 12:21:43,greg_goya,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:21:47,mattia_stanga,49,2,0,,,,,,0,ok,
02/07/2026 12:21:52,gabrielevagnato,4121216,186347536,2102,7.13,449236.31,36675.44,106.34,654.38,32,ok,
02/07/2026 12:21:57,elisamaino,2,0,0,,,,,,0,ok,
02/07/2026 12:22:03,virginiamontemaggi,5455013,540364157,1969,13.47,472406.06,60665.3,141.27,738.39,33,ok,
02/07/2026 12:22:09,gaiabianchi,0,0,0,,,,,,0,ok,
02/07/2026 12:22:13,valentinafradegrada,16,0,0,,,,,,0,ok,
02/07/2026 12:22:20,giuliasalemi,13,1,1,,,,,,0,ok,
02/07/2026 12:22:24,ornellazocco,414,2972,10,7.78,5532.6,297.2,4.6,4.5,10,ok,
02/07/2026 12:22:28,madtrinity_,51,140,4,13.54,285.5,35.0,3.25,0.5,4,ok,
02/07/2026 12:22:33,jacopoaquila,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:22:39,kiroebra,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:22:44,ilpagante,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:22:51,lorenzorisoo,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:22:54,alessandrocossari,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:01,laposhhhhhh,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:08,martinasocrate,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:14,annafolzi,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:18,awed,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:24,tremenoventi,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:29,fabiolabaglieri,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:34,benedettarossi,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:40,emilypallini,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:47,martalosito,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:51,federicascagnetti,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:23:58,shaina,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:04,irisferrari,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:07,andreabianchi,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:14,ritaquingi,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:20,chaimaacherbal,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:23,zaggia,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:29,newmartina,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:34,angeloduro,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
02/07/2026 12:24:39,edoardotavassi,,,,,,,,,,non_trovato,utente non trovato (handle inesistente o cambiato)
